"","muiid","LRU","ncnesoil30m","MLRA.value","MLRA.total","Value","Count","percentmlra","pmlra","mu.total","affinity","best","ofbest"
"7121",188623,"111B",188623,91,30978541,83517,46,0.000148489885304799,0.000148489885304799,0.0158656529543989,0.935920417089601,99.0640795829104,0.944762643563749
"7124",188627,"111B",188627,91,30978541,83507,329,0.0010620254840278,0.0010620254840278,0.0422243293945132,2.5151979895406,95.4739601295764,2.63443350011563
"7125",188627,"111C",188627,90,7419931,83550,63,0.000849064499386854,0.000849064499386854,0.0422243293945132,2.01084188088298,95.4739601295764,2.10616787881626
"7127",188628,"111B",188628,91,30978541,83473,125,0.000403505123110866,0.000403505123110866,0.0276342009064478,1.46016570002108,94.101759527105,1.55168798900142
"7128",188628,"111C",188628,90,7419931,83554,91,0.00122642649911434,0.00122642649911434,0.0276342009064478,4.43807477287389,94.101759527105,4.71625057297206
"7139",188636,"111B",188636,91,30978541,83485,541,0.00174637017282383,0.00174637017282383,0.0668986377935725,2.61047194744467,78.1503625656921,3.34031968853675
"7142",188637,"111B",188637,91,30978541,83486,422,0.00136223329562228,0.00136223329562228,0.0263548886031546,5.16880688108554,93.8084444001535,5.50995905980196
"7143",188637,"111C",188637,90,7419931,83567,20,0.000269544285519636,0.000269544285519636,0.0263548886031546,1.02274871876094,93.8084444001535,1.09025229583624
"7145",188638,"111B",188638,91,30978541,83769,18,5.81047377279647e-05,5.81047377279647e-05,0.00946137392386353,0.614125793944287,99.3858742060557,0.617920603758062
"7147",188639,"111B",188639,91,30978541,83483,1203,0.00388333330481897,0.00388333330481897,0.0384003158677803,10.1127639631664,68.1975227250086,14.8286382834519
"7151",188640,"111C",188640,90,7419931,83695,143,0.0019272416414654,0.0019272416414654,0.0239040379563917,8.06241039685962,79.4327318152702,10.1499850409396
"7155",188642,"111B",188642,91,30978541,83575,47,0.000151717926289685,0.000151717926289685,0.00217831037458909,6.96493612937529,83.7545583697563,8.31588902734913
"7156",188642,"111C",188642,90,7419931,83588,15,0.000202158214139727,0.000202158214139727,0.00217831037458909,9.2805055008684,83.7545583697563,11.0805975000157
"7164",188647,"111C",188647,90,7419931,83569,387,0.00521568192480496,0.00521568192480496,0.107886573658208,4.83441242774897,73.9159118273371,6.54042182289768
"7169",188650,"111C",188650,90,7419931,83539,115,0.00154987964173791,0.00154987964173791,0.111142968371327,1.39449185535498,98.605508144645,1.41421293961529
"7173",188655,"111B",188655,91,30978541,83496,642,0.00207240231229741,0.00207240231229741,0.0270460633343362,7.66249153038994,91.2412353802278,8.39805763091456
"7174",188655,"111C",188655,90,7419931,83549,22,0.0002964987140716,0.0002964987140716,0.0270460633343362,1.09627308938222,91.2412353802278,1.20151057229086
"7182",188661,"111B",188661,91,30978541,83505,89,0.000287295647654936,0.000287295647654936,0.083272018051291,0.345008628802508,81.3826169606105,0.423934055806406
"7185",188662,"111B",188662,91,30978541,83617,430,0.00138805762350138,0.00138805762350138,0.0559110020486613,2.48261982908713,87.4656941929132,2.83839264296182
